object_id,title,creator,description,source_url,period,year,medium_genre,subjects,source,credit,alt_text
hwy_111_mecca_001.jpg,"Hwy 111, Mecca: Three Stacked Hazard Zones, Position 001 (North)","What the Desert Holds / Google Street View","North-facing view from Position 001 at the southern entry point of the Mecca survey corridor (33.565°N, 116.074°W). Three simultaneous hazard zones are legible in a single frame: alkali salt flat to the west, freight railroad running parallel to the highway, and agricultural fields abutting the road to the north and east. No pedestrian infrastructure visible. No sidewalk, no buffer zone between road and adjacent land uses.","https://www.google.com/maps/@33.565,-116.074,3a,75y,0h,90t","Contemporary","2024","Street View photography; counter-forensic spatial survey","environmental racism; sacrifice zones; Eastern Coachella Valley; Mecca California; Hwy 111; stacked hazard zones; freight railroad; agricultural adjacency; unincorporated community; pedestrian infrastructure absence","Google Street View / What the Desert Holds project survey","What the Desert Holds project. Street View imagery © Google.","Hwy 111 heading north from Position 001 in Mecca, California. Flat desert road with no sidewalk or pedestrian infrastructure. Salt flat visible to the left; utility poles and sparse scrub. No buffer between road and adjacent agricultural and industrial uses."
hwy_111_mecca_002.jpg,"Hwy 111, Mecca: Industrial-Residential Adjacency, Position 002 (North)","What the Desert Holds / Google Street View","North-facing view from Position 002 (33.568°N, 116.075°W). Industrial warehouse zone directly adjacent to residential area. Drought-stressed date palms visible; concrete pad from demolished structure indicates prior building activity. No sidewalk or pedestrian infrastructure across the road surface or verge.","https://www.google.com/maps/@33.568,-116.075,3a,75y,0h,90t","Contemporary","2024","Street View photography; counter-forensic spatial survey","environmental racism; Mecca California; industrial adjacency; residential proximity; unincorporated community; pedestrian infrastructure absence; Hwy 111","Google Street View / What the Desert Holds project survey","What the Desert Holds project. Street View imagery © Google.","North-facing view along Hwy 111 in Mecca showing industrial warehouse buildings adjacent to the road with no buffer zone, drought-stressed palms, and an absence of sidewalks or pedestrian infrastructure."
hwy_111_mecca_002e.jpg,"Hwy 111, Mecca: Agricultural Field and Road Edge, Position 002 (East)","What the Desert Holds / Google Street View","East-facing view from Position 002 (33.568°N, 116.075°W). Date palm plantation visible at the road edge. No fence, no buffer zone, no setback between active agricultural land and the public right-of-way. Pesticide application to these fields is documented at 92 lbs/sq mi, four times the Coachella Valley average. No sidewalk. No pedestrian infrastructure.","https://www.google.com/maps/@33.568,-116.075,3a,75y,90h,90t","Contemporary","2024","Street View photography; counter-forensic spatial survey","environmental racism; Mecca California; pesticide exposure; agricultural adjacency; date palm cultivation; zero buffer zone; pedestrian infrastructure absence; Hwy 111","Google Street View / What the Desert Holds project survey","What the Desert Holds project. Street View imagery © Google.","East-facing view from Hwy 111 in Mecca showing date palm agricultural fields beginning directly at the road edge with no fence, buffer, or setback between active cultivation and the public right-of-way."
hwy_111_mecca_002w.jpg,"Hwy 111, Mecca: Road Verge and Salt Flat Approach, Position 002 (West)","What the Desert Holds / Google Street View","West-facing view from Position 002 (33.568°N, 116.075°W). Road verge condition visible: bare desert soil with sparse scrub vegetation, no sidewalk, no planted buffer. Alkali conditions beginning to dominate the road edge. No pedestrian infrastructure across the full visible length of the highway verge.","https://www.google.com/maps/@33.568,-116.075,3a,75y,270h,90t","Contemporary","2024","Street View photography; counter-forensic spatial survey","environmental racism; Mecca California; road verge; alkali soil; pedestrian infrastructure absence; Hwy 111; salt flat","Google Street View / What the Desert Holds project survey","What the Desert Holds project. Street View imagery © Google.","West-facing view along Hwy 111 in Mecca showing bare road verge with no sidewalk, no planted buffer, and sparse desert scrub transitioning toward alkali salt flat conditions."
hwy_111_mecca_003.jpg,"Hwy 111, Mecca: 'Mecca Arrow' Directional Sign and New Overpass, Position 003 (North)","What the Desert Holds / Google Street View","North-facing view from Position 003 (33.571°N, 116.076°W). A directional sign reading 'Mecca →' routes through-traffic past the community rather than through it, making the community visible on the highway only as a destination to avoid. A new state-funded overpass structure is visible — new infrastructure investment that serves vehicle throughput exclusively, with no sidewalk incorporated. Primary counter-forensic evidence: the highway acknowledges Mecca only to direct drivers elsewhere.","https://www.google.com/maps/@33.571,-116.076,3a,75y,0h,90t","Contemporary","2024","Street View photography; counter-forensic spatial survey","environmental racism; Mecca California; counter-cartography; community visibility; directional signage; infrastructure investment; overpass; pedestrian infrastructure absence; Hwy 111; state investment","Google Street View / What the Desert Holds project survey","What the Desert Holds project. Street View imagery © Google.","North-facing view along Hwy 111 in Mecca showing a green directional sign reading Mecca with an arrow, routing traffic past the community, and a new concrete overpass structure with no sidewalk or pedestrian accommodation."
hwy_111_mecca_004.jpg,"Hwy 111, Mecca: Primary Intersection, Position 004 (North)","What the Desert Holds / Google Street View","North-facing view from Position 004 at the primary controlled intersection in the Mecca survey corridor (33.574°N, 116.077°W). The intersection is the highest-traffic node in the 1.5-mile survey corridor and the location where pedestrian crossing infrastructure — if it existed — would be expected. No ADA-compliant crossing, no pedestrian signal, no tactile warning strip visible.","https://www.google.com/maps/@33.574,-116.077,3a,75y,0h,90t","Contemporary","2024","Street View photography; counter-forensic spatial survey","environmental racism; Mecca California; intersection; pedestrian infrastructure absence; ADA compliance; Hwy 111","Google Street View / What the Desert Holds project survey","What the Desert Holds project. Street View imagery © Google.","North-facing view of the primary intersection along Hwy 111 in Mecca, California, showing a controlled crossing point with no ADA-compliant crossing infrastructure, no pedestrian signal, and no tactile warning strip."
hwy_111_mecca_004e.jpg,"Hwy 111, Mecca: Permanent 'No Pedestrian' Sign, Position 004 (East) — PRIMARY EVIDENCE","What the Desert Holds / Google Street View","East-facing view from Position 004 (33.574°N, 116.077°W). A permanent state-installed sign reading 'No Pedestrian' is affixed at the primary intersection of the Mecca survey corridor. Primary counter-forensic evidence: the sign does not reflect a temporary condition or construction detour. It formalizes the absence of sidewalks across 1.5 miles of highway through a farmworker community with limited car ownership as a permanent legal prohibition. The sign is a state instrument that converts an infrastructure deficit into a regulatory fact. No equivalent sign appears anywhere in the 1.5-mile Palm Desert survey corridor.","https://www.google.com/maps/@33.574,-116.077,3a,75y,90h,90t","Contemporary","2024","Street View photography; counter-forensic spatial survey","environmental racism; Mecca California; No Pedestrian sign; counter-forensics; state signage; pedestrian prohibition; infrastructure absence; Hwy 111; farmworker community; architecture in reverse","Google Street View / What the Desert Holds project survey","What the Desert Holds project. Street View imagery © Google.","East-facing view at the primary intersection of Hwy 111 in Mecca showing a permanent state-installed No Pedestrian sign mounted on a pole, formalizing the absence of sidewalk infrastructure as legal prohibition in an unincorporated farmworker community."
hwy_111_mecca_004w.jpg,"Hwy 111, Mecca: Highway Verge Without Infrastructure, Position 004 (West)","What the Desert Holds / Google Street View","West-facing view from Position 004 (33.574°N, 116.077°W). Road surface and verge conditions at the primary intersection. No sidewalk visible in either direction along the highway verge. Bare soil verge transitioning to desert scrub. The full field of view shows what is absent rather than what is present: no pedestrian infrastructure of any kind across the primary node of the survey corridor.","https://www.google.com/maps/@33.574,-116.077,3a,75y,270h,90t","Contemporary","2024","Street View photography; counter-forensic spatial survey","environmental racism; Mecca California; road verge; pedestrian infrastructure absence; Hwy 111; threshold of detectability","Google Street View / What the Desert Holds project survey","What the Desert Holds project. Street View imagery © Google.","West-facing view along Hwy 111 in Mecca at Position 004 showing bare road verge with no sidewalk, no planted buffer, and no pedestrian infrastructure across the full visible length of the highway."
hwy_111_mecca_005.jpg,"Hwy 111, Mecca: Agricultural-Highway Interface, Position 005 (North)","What the Desert Holds / Google Street View","North-facing view from Position 005 (33.577°N, 116.078°W). The spatial relationship between the highway corridor, the freight railroad, and the agricultural fields is legible from this position. All three hazard layers are within 0.25 miles of the residential area of Mecca. No sidewalk, no buffer, no planted verge.","https://www.google.com/maps/@33.577,-116.078,3a,75y,0h,90t","Contemporary","2024","Street View photography; counter-forensic spatial survey","environmental racism; Mecca California; stacked hazard zones; freight railroad; agricultural adjacency; pesticide exposure; Hwy 111","Google Street View / What the Desert Holds project survey","What the Desert Holds project. Street View imagery © Google.","North-facing view from Position 005 along Hwy 111 in Mecca showing the convergence of the highway corridor, freight railroad, and agricultural fields within a compressed residential zone, with no sidewalk or buffer infrastructure."
hwy_111_mecca_005e.jpg,"Hwy 111, Mecca: Date Palm Plantation at Road Edge, Position 005 (East) — PRIMARY EVIDENCE","What the Desert Holds / Google Street View","East-facing view from Position 005 (33.577°N, 116.078°W). Date palm plantation begins at the road edge with zero fence, zero buffer zone, and zero setback between active agricultural land and the public right-of-way. Pesticide application to fields in this area is documented at 92 lbs/sq mi (four times the Coachella Valley average) by the California Department of Pesticide Regulation. The spatial relationship between cultivation boundary and road edge is the forensic record of a land-use decision that created a pesticide exposure pathway for pedestrians and residents. No sidewalk, no barrier, no setback of any kind.","https://www.google.com/maps/@33.577,-116.078,3a,75y,90h,90t","Contemporary","2024","Street View photography; counter-forensic spatial survey","environmental racism; Mecca California; pesticide exposure; date palm cultivation; agricultural adjacency; zero buffer zone; pedestrian exposure pathway; Hwy 111; field causality; material witness","Google Street View / What the Desert Holds project survey","What the Desert Holds project. Street View imagery © Google.","East-facing view along Hwy 111 in Mecca showing date palm plantation rows beginning at the edge of the road right-of-way with no fence, no buffer zone, and no setback separating active agricultural land from the public highway."
